Address,Location,Type,,Tags
172.17.80.224/27,dg-core-prd,IP Netmask,,
172.17.96.0/25,dg-core-prd,IP Netmask,,
172.17.97.128/27,dg-core-prd,IP Netmask,,
172.17.97.160/27,dg-core-prd,IP Netmask,,
172.17.97.192/27,dg-core-prd,IP Netmask,,
172.17.97.64/26,dg-core-prd,IP Netmask,,
172.17.98.0/26,dg-core-prd,IP Netmask,,
172.17.98.64/26,dg-core-prd,IP Netmask,,
172.17.99.0/26,dg-core-prd,IP Netmask,,
172.17.99.192/26,dg-core-prd,IP Netmask,,
172.17.99.64/27,dg-core-prd,IP Netmask,,
172.18.10.0/16,dg-core-prd,IP Netmask,,
172.18.15.0/24,dg-core-prd,IP Netmask,,
172.18.16.0/24,dg-core-prd,IP Netmask,,
172.18.75.0/23,dg-core-prd,IP Netmask,,
172.18.8.0/24,dg-core-prd,IP Netmask,,
172.19.0.0/21,dg-core-prd,IP Netmask,,
172.19.10.0/16,dg-core-prd,IP Netmask,,
172.19.8.0/24,dg-core-prd,IP Netmask,,
172.20.10.0/16,dg-core-prd,IP Netmask,,
172.20.4.0/24,dg-core-prd,IP Netmask,,
172.20.8.0/23,dg-core-prd,IP Netmask,,
172.26.4.0/24,dg-core-prd,IP Netmask,,
172.27.4.0/24,dg-core-prd,IP Netmask,,
192.168.140.0/24,dg-core-prd,IP Netmask,,
192.168.159.0/24,dg-core-prd,IP Netmask,,
192.168.160.0/24,dg-core-prd,IP Netmask,,
192.168.174.0/23,dg-core-prd,IP Netmask,,
192.168.175.166/32,dg-core-prd,IP Netmask,,
192.168.175.167/32,dg-core-prd,IP Netmask,,
192.168.175.168/32,dg-core-prd,IP Netmask,,
192.168.175.176/32,dg-core-prd,IP Netmask,,
192.168.175.199/32,dg-core-prd,IP Netmask,,
192.168.185.0/24,dg-core-prd,IP Netmask,,
192.168.2.0/24,dg-core-prd,IP Netmask,,
192.168.4.0/24,dg-core-prd,IP Netmask,,
192.168.56.0/23,dg-core-prd,IP Netmask,,
194.38.20.31,dg-core-prd,IP Netmask,,
2y4nothing.xyz,dg-core-prd,FQDN,,
45.8.147.121,dg-core-prd,IP Netmask,,
54.240.3.17,dg-core-prd,IP Netmask,,
57.234.111.16/28,dg-core-prd,IP Netmask,,
57.234.118.160/27,dg-core-prd,IP Netmask,,
57.234.121.64/26,dg-core-prd,IP Netmask,,
57.234.124.0/23,dg-core-prd,IP Netmask,,
57.234.132.128/26,dg-core-prd,IP Netmask,,
57.234.139.192/27,dg-core-prd,IP Netmask,,
57.234.140.0/26,dg-core-prd,IP Netmask,,
57.234.143.0/27,dg-core-prd,IP Netmask,,
57.234.143.64/27,dg-core-prd,IP Netmask,,
5m5.io,dg-core-prd,FQDN,,
91.218.122.0,dg-core-prd,IP Netmask,,
addons.news,dg-core-prd,FQDN,,
adibjan.net,dg-core-prd,FQDN,,
adservices.gr.com,dg-core-prd,FQDN,,
adsunflower.com,dg-core-prd,FQDN,,
adultpcz.xyz,dg-core-prd,FQDN,,
advertsservices.com,dg-core-prd,FQDN,,
advfb.xyz,dg-core-prd,FQDN,,
aegieuueueuuruia.ru,dg-core-prd,FQDN,,
affise.app,dg-core-prd,FQDN,,
10.124.120.48,dg-core-prd,IP Netmask,,
almasryelyuom.com,dg-core-prd,FQDN,,
alpineai.uk,dg-core-prd,FQDN,,
alraeeenews.com,dg-core-prd,FQDN,,
alraeesnews.net,dg-core-prd,FQDN,,
altsantiri.news,dg-core-prd,FQDN,,
amazing.lab,dg-core-prd,FQDN,,
amazonaws.com,dg-core-prd,FQDN,,
ancienthistory.xyz,dg-core-prd,FQDN,,
android-apps.tech,dg-core-prd,FQDN,,
api-apple-buy.com,dg-core-prd,FQDN,,
api-telecommunication.com,dg-core-prd,FQDN,,
api.payulatam.com,dg-core-prd,FQDN,,
api01.lflinkup.net,dg-core-prd,FQDN,,
app.iofrontcloud.com,dg-core-prd,FQDN,,
applepps.com,dg-core-prd,FQDN,,
apps-ios.net,dg-core-prd,FQDN,,
apps.identrust.com,dg-core-prd,FQDN,,
aprovafacil.com,dg-core-prd,FQDN,,
aramexegypt.com,dg-core-prd,FQDN,,
10.230.3.0/24,dg-core-prd,IP Netmask,,
10.224.0.0/18,dg-core-prd,IP Netmask,,
atheere.com,dg-core-prd,FQDN,,
audit-pvv.com,dg-core-prd,FQDN,,
av-quiz.tk,dg-core-prd,FQDN,,
aviancavsts.visualstudio.com,dg-core-prd,FQDN,,
10.226.1.0/26,dg-core-prd,IP Netmask,,
10.226.1.6/32,dg-core-prd,IP Netmask,,
10.226.1.7/32,dg-core-prd,IP Netmask,,
